id,name,state,forest
61,DREW CANYON,Arizona,Tonto National Forest
62,OSPREY,Washington,Olympic National Forest
63,MEADOWVIEW,California,Lake Tahoe Basin Management Unit
64,PINEVIEW CONNECTOR,Utah,Caribou-Targhee National Forest
65,GROUSE,Colorado,Pike and San Isabel National Forests
66,LOS BURROS SHORTCUT,Arizona,Apache-Sitgreaves National Forests
67,RIM LAKES VISTA,Arizona,Apache-Sitgreaves National Forests
68,CHEVELON CROSSING,Arizona,Apache-Sitgreaves National Forests
69,BOULDER HOP,California,Lake Tahoe Basin Management Unit
70,235 ROAD,California,Lake Tahoe Basin Management Unit
71,DARE ME,California,Lake Tahoe Basin Management Unit
72,WEDDING DAY,California,Lake Tahoe Basin Management Unit
73,ROBINSON MESA,California,Lake Tahoe Basin Management Unit
74,TANK,California,Lake Tahoe Basin Management Unit
75,MT BALDY CROSSOVER,California,Lake Tahoe Basin Management Unit
76,CROSSOVER,California,Lake Tahoe Basin Management Unit
77,SUNRISE SNOWMOBILE 249,Arizona,Apache-Sitgreaves National Forests
78,EAST BALDY,Arizona,Apache-Sitgreaves National Forests
79,WEST BALDY,Arizona,Apache-Sitgreaves National Forests
80,FLAT TOP,Colorado,Pike and San Isabel National Forests
102,STANISLAUS PEAK,California,Stanislaus National Forest
104,GRANITE LAKE,California,Lake Tahoe Basin Management Unit
106,POWELL LAKE SPUR,Utah,Dixie National Forest
107,TWAIN HARTE OHV-M/C,California,Stanislaus National Forest
108,COLUMBIA SE OHV-M/C,California,Stanislaus National Forest
109,DOUBLE DOME,Georgia,Chattahoochee-Oconee National Forests
110,SUMMIT LEVEL,Colorado,San Isabel National Forest
111,SILVER MINE CREEK,California,Stanislaus National Forest
112,WOODS GULCH / ARNOT CREEK,California,Stanislaus National Forest
113,WILLOW CREEK / BLOOMER LAKE,California,Stanislaus National Forest
114,CRANDALL PK OHV-M/C,California,Stanislaus National Forest
115,BENNET JUNIPER,California,Stanislaus National Forest
116,RELIEF RESERVOIR,California,Stanislaus National Forest
118,TWAIN HARTE OHV-M/C,California,Stanislaus National Forest
119,CRANDALL PK OHV-M/C,California,Stanislaus National Forest
120,TWAIN HARTE OHV-M/C,California,Stanislaus National Forest
121,CRANDALL PK OHV-M/C,California,Stanislaus National Forest
122,TWAIN HARTE OHV M/C,California,Stanislaus National Forest
123,CRANDALL PK 0HV-M/C,California,Stanislaus National Forest
124,TWAIN HARTE OHV-M/C,California,Stanislaus National Forest
125,CRANDALL PK OHV-ATV,California,Stanislaus National Forest
126,CRANDALL PK OHV-ATV,California,Stanislaus National Forest
127,CRANDALL PK OHV-M/C,California,Stanislaus National Forest
128,ROCK SHELTER,California,Stanislaus National Forest
129,SINKHOLE,California,Stanislaus National Forest
130,AL FULTON,California,Stanislaus National Forest
131,ROCKY  BLUFF,California,Stanislaus National Forest
132,POLIMANA,California,Stanislaus National Forest
133,BACK ALLEY,California,Stanislaus National Forest
134,CARR CONNECTOR,California,Stanislaus National Forest
135,RIM CAMPGROUND,California,Stanislaus National Forest
136,PASTURE,California,Stanislaus National Forest
137,BACK ALLEY,California,Stanislaus National Forest
138,MILITARY SINKHOLE,Arizona,Apache-Sitgreaves National Forests
139,WILLOW SPRINGS BIKE LOOP,Arizona,Apache-Sitgreaves National Forests
140,HANGMAN,Arizona,Apache-Sitgreaves National Forests
141,MELLOW,California,Lake Tahoe Basin Management Unit
142,COTTONWOOD,California,Stanislaus National Forest
143,FISHERMAN,California,Stanislaus National Forest
144,EAST FORK,California,Stanislaus National Forest
145,MEADOW,California,Stanislaus National Forest
146,BILLY CREEK CONNECTOR,California,Stanislaus National Forest
147,JUNIPER RIDGE SHORTCUT,California,Stanislaus National Forest
148,HULL CREEK OHV,California,Stanislaus National Forest
149,HULL CREEK OHV,California,Stanislaus National Forest
150,HULL CREEK OHV,California,Stanislaus National Forest
151,CRANDALL PEAK OHV,California,Stanislaus National Forest
152,STRAWBERRY OHV,California,Stanislaus National Forest
157,STRAWBERRY OHV,California,Stanislaus National Forest
208,ASPEN MEADOW,California,Stanislaus National Forest
209,HELLS MOUNTAIN,California,Stanislaus National Forest
211,GROUSE VALLEY,California,Stanislaus National Forest
212,PAKER POT. 4X4,California,Stanislaus National Forest
213,HERRING CREEK,California,Stanislaus National Forest
214,BOX SPRING/CHAIN LAKES,California,Stanislaus National Forest
215,TWIN MEADOWS,California,Stanislaus National Forest
216,BOX SPRING,California,Stanislaus National Forest
217,BLUE HOLE/MATTLEY,California,Stanislaus National Forest
218,EAST HERRING CREEK,California,Stanislaus National Forest
219,GROUSE / CHAIN LAKES,California,Stanislaus National Forest
220,SHADOW OF THE MIWOK INTERPERAT,California,Stanislaus National Forest
221,VIEWPOINT,California,Stanislaus National Forest
222,SPRUCE,California,Stanislaus National Forest
223,RED TAIL,California,Stanislaus National Forest
224,MEADOW LARK,California,Stanislaus National Forest
225,TURKEY TRACK,California,Stanislaus National Forest
226,WILLOW,California,Stanislaus National Forest
227,CHIPMUNK SPRINGS,California,Stanislaus National Forest
228,RAVEN,California,Stanislaus National Forest
229,RIM RUN,California,Stanislaus National Forest
230,ROSS DRAW,California,Stanislaus National Forest
231,FEELIN' BLUE,California,Stanislaus National Forest
232,THE MAZE,California,Stanislaus National Forest
233,SECTION LINE,California,Stanislaus National Forest
234,THREE OAKS,California,Stanislaus National Forest
235,PROMONTORY SNOWMOBILE LOOP,California,Stanislaus National Forest
236,OWL,California,Stanislaus National Forest
237,HORTON SPRINGS,Arizona,Apache-Sitgreaves National Forests
238,ELK,California,Stanislaus National Forest
239,BIG SPRINGS CONNECTOR,California,Stanislaus National Forest
240,SEE CANYON,Arizona,Apache-Sitgreaves National Forests
241,SUMMIT,California,Stanislaus National Forest
242,PINECREST,California,Stanislaus National Forest
297,PINECREST LAKE N.R.T.,California,Stanislaus National Forest
298,CLEAR LAKE,California,Lake Tahoe Basin Management Unit
299,SKULL POT. 4X4,California,Stanislaus National Forest
300,TRAIL OF THE GARGOYLES INTERPE,California,Stanislaus National Forest
301,WILLOW MEADOW,California,Stanislaus National Forest
302,SOUTH FORK STANISLAUS,California,Stanislaus National Forest
303,BELL CREEK,California,Stanislaus National Forest
304,CASCADE CREEK,California,Stanislaus National Forest
305,PINECREST PEAK/CATFISH LAKE,California,Stanislaus National Forest
306,CLEOS BATH,California,Stanislaus National Forest
307,MCCORMICK / DREW CREEK,California,Stanislaus National Forest
308,PINGREE LAKE,California,Stanislaus National Forest
309,LIGHTNING MOUNTAIN,California,Stanislaus National Forest
310,BULL RUN ROCK,California,Stanislaus National Forest
311,NEAR PIKES PEAK,California,Stanislaus National Forest
312,COOPER POCKET,California,Stanislaus National Forest
313,BLACK HAWK LAKE,California,Stanislaus National Forest
314,SUMMIT CREEK,California,Stanislaus National Forest
315,LIGHTNING MOUNTAIN / ARNOT,California,Stanislaus National Forest
